,HEADING_x,CPT_name,Push_no,Depth,SCPT_RES,SCPT_FRES,SCPT_PWP1,SCPT_PWP2,SCPT_PWP3,SCPT_CON,SCPT_TEMP,SCPT_PH,SCPT_SLP1,SCPT_SLP2,SCPT_REDX,SCPT_MAGT,SCPT_MAGX,SCPT_MAGY,SCPT_MAGZ,SCPT_SMP,SCPT_NGAM,SCPT_REM,SCPT_FRR,SCPT_QT,SCPT_FT,SCPT_QE,SCPT_BDEN,SCPT_CPO,SCPT_CPOD,SCPT_QNET,SCPT_FRRC,SCPT_EXPP,SCPT_BQ,SCPT_ISPP,SCPT_NQT,SCPT_NFR,FILE_FSET_x,SCPT_SECS,SCPT_DPPR,SCPT_FFD1,SCPT_FFD2,SCPT_PMT,SCPT_PID,SCPT_FID,SCPT_DECD,SCPT_SWV,SCPT_PWV,Location_ID,HEADING_y,SCPG_TYPE,SCPG_REF,SCPG_CSA,SCPG_RATE,SCPG_FILT,SCPG_FRIC,SCPG_WAT,SCPG_WATA,SCPG_REM,SCPG_ENV,SCPG_CONT,SCPG_METH,SCPG_CRED,SCPG_CAR,SCPG_SLAR,FILE_FSET_y,SCPG_DATE,SCPG_EXC,SCPG_FHL,SCPG_ORNT,SCPG_PED,SCPG_TERM,SCPG_ZLOC,SCPG_ZBC,SCPG_ZAC,SCPG_ZBF,SCPG_ZAF,SCPG_ZBU1,SCPG_ZAU1,SCPG_ZBU2,SCPG_ZAU2,SCPG_ZBU3,SCPG_ZAU3,SCPG_ZBI1,SCPG_ZAI1,SCPG_ZBI2,SCPG_ZAI2,SCPG_CRDT,SCPG_MILE,TEST_STAT,SCPG_CPC,SCPG_CFOS,SCPG_REMS,SCPG_REMP,SCPG_APCL,UNIQUE_GEOL,DEPTH_TOP,DEPTH_BASE,GEOL_UNIT,SOIL_CLASS,UNIT_WEIGHT,K0,Phi,Nkt_UB,Nkt_LB,Kg,inc_sigv0,base_sigv0,Elev,Rf,qt_uncorr,sig_v0,u0,eff_sig_v0,CPT_name_shift,Push_no_shift,u0b,u2_corr,qt_corr,eff_sig_y_UB,eff_sig_y_LB,OCR_UB,OCR_LB,Fr,Bq_uncorr,Bq_corr,n_IC,Qtn,Ic,eff_p,qc/eff_sig_v0^0.5,n_G0,G0_ICP,G0_RS,G0_Baldi,Dr_Baldi,Dr_Jam_dry,Dr_Jam_sat,peak_phi_UB,peak_phi_LB,Su_UB,Su_LB,G0_A,G0_B,G0_C,G0_D,G0_E,Check_push_no
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DATA,BH06-HSINCHU,1.0,0.02,0.119,0.0036,,0.0046,,,,,-0.3276,-0.4655,,,,,,,,,2.98,0.1202,,0.1156,1.83,0.36,0.16,0.1199,2.96,0.0044,0.0365,0.0002,731.701,2.9713,,,0.036,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.02,3.0252100840336134,0.119874,0.4000000000000057,0.2,0.20000000000000567,,,0.2,0.0048,0.120074,39.49242,10.381842894348807,197.46209999999442,51.909214471742565,3.008172201146448,0.0368280964896128,0.03843775590353794,0.7086415321479984,97.48470074643289,2.2533932723980596,0.1333333333333371,266.0920893224712,26.60920893224712,2.258042134290758,2.951379394889663,0.9047298805890244,26.39169054191317,0.4416474446133933,0.4669416890623359,40.111335243353054,31.694836675867844,,,2.1908902300206954,2.9211869733609275,3.651483716701159,4.381780460041391,5.112077203381623,1.0
2,DATA,BH06-HSINCHU,1.0,0.04,0.282,0.0023,,0.0044,,,,,-0.3448,-0.5,,,,,,,,,0.83,0.2826,,0.2783,1.83,0.72,0.33,0.2819,0.82,0.004,0.014,0.0004,860.4472,0.8259,,,0.014,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.04,0.8156028368794327,0.282836,0.8000000000000114,0.4,0.40000000000001135,BH06-HSINCHU,1.0,0.2,0.0046,0.28303599999999995,93.13787999999998,19.255532152285372,232.84469999999334,48.138830380712065,0.8149208463838774,0.014182586620147786,0.014881163281792547,0.5950965810514225,75.0418674744645,1.9551160100120022,0.2666666666666742,445.8811500837351,44.588115008373514,3.8306049878948056,4.748832221518306,1.6462572095043875,44.841982822319856,18.817859430052902,20.120968942324406,41.58735862578559,34.27787759512478,,,3.098386676965977,4.131182235954636,5.163977794943295,6.196773353931954,7.229568912920613,0.0
3,DATA,BH06-HSINCHU,1.0,0.06,0.387,0.0022,,0.0006,,,,,-0.2414,-0.3621,,,,,,,,,0.57,0.3868,,0.3862,1.83,1.08,0.49,0.3857,0.57,0.0,0.0,0.0006,784.9594,0.5724,,,0.0,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.06,0.5684754521963824,0.387114,1.2000000000000028,0.6,0.6000000000000029,BH06-HSINCHU,1.0,0.2,0.0007999999999999999,0.387314,127.41762,24.12958132825238,212.362699999999,40.21596888042044,0.569779909560389,0.0,0.0005179817359639901,0.5703403252079439,71.03449371578084,1.8898799084325484,0.4000000000000019,499.6148516607556,49.96148516607556,4.854701539100909,5.983930107951408,2.2249848209225673,48.42481089251873,23.20987538822599,24.87839538899957,41.8739848714015,34.77947352495262,,,3.794733192202064,5.059644256269419,6.324555320336773,7.589466384404128,8.854377448471483,0.0
4,DATA,BH06-HSINCHU,1.0,0.08,0.47,0.0026,,-0.0036,,,,,-0.2069,-0.4483,,,,,,,,,0.55,0.4695,,0.4731,1.83,1.44,0.66,0.4681,0.55,-0.0044,-0.0093,0.0008,714.3934,0.5501,,,-0.009,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.08,0.5531914893617021,0.46931599999999996,1.6000000000000085,0.8,0.8000000000000085,BH06-HSINCHU,1.0,0.2,-0.0034,0.46951599999999993,154.41227999999998,27.70993303951193,193.01534999999794,34.63741629938955,0.5556552885560657,-0.00940741817684236,-0.008975970045905678,0.5667699377453141,71.80535686894794,1.880249794474334,0.533333333333339,525.4759747124477,52.54759747124477,5.688225905101558,6.997376816839142,2.73359746124673,49.80729601994553,25.30359999452669,27.15226073969659,41.984583681595645,34.97302144279237,,,4.381780460041352,5.8423739467218025,7.3029674334022525,8.763560920082703,10.224154406763155,0.0
5,DATA,BH06-HSINCHU,1.0,0.1,0.762,0.0043,,-0.0164,,,,,-0.2586,-0.431,,,,,,,,,0.57,0.7586,,0.775,1.83,1.8,0.82,0.7568,0.57,-0.0174,-0.023,0.001,924.0844,0.5687,,,-0.023,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.1,0.5643044619422573,0.758884,2.0,1.0,1.0,BH06-HSINCHU,1.0,0.2,-0.016200000000000003,0.759084,249.83772,39.18305739547745,249.83772,39.18305739547745,0.567968679829451,-0.02298899170810851,-0.02271874719317804,0.537740361795689,89.53281357233307,1.8037976479766613,0.6666666666666666,762.0,76.2,7.023729673282082,8.585009795576727,3.4964620509442135,63.61897830959047,38.160621189729746,41.27763015760703,43.089518264767236,36.90665696334267,,,4.898979485566356,6.531972647421808,8.16496580927726,9.797958971132712,11.430952132988164,0.0
6,DATA,BH06-HSINCHU,1.0,0.12,0.908,0.0088,,-0.0202,,,,,-0.2759,-0.4655,,,,,,,,,0.97,0.9042,,0.9244,1.83,2.16,0.98,0.902,0.98,-0.0214,-0.0237,0.0012,917.8267,0.9803,,,-0.024,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.12,0.9691629955947136,0.904162,2.4000000000000057,1.2,1.2000000000000057,BH06-HSINCHU,1.0,0.2,-0.02,0.904362,297.64746,44.4477851542536,248.03954999999883,37.03982096187782,0.9756508589053642,-0.02373131713245845,-0.023504316146356497,0.5648158534218699,109.0459010982775,1.8746028934434193,0.8000000000000038,828.8868036911495,82.88868036911494,7.8576429152097145,9.604316903872322,4.038133940250381,66.49334484897625,41.24946939207519,44.699297597944245,43.3194675879181,37.30906827885668,,,5.366563145999508,7.155417527999344,8.944271909999179,10.733126291999016,12.52198067399885,0.0
7,DATA,BH06-HSINCHU,1.0,0.14,1.012,0.0062,,-0.0042,,,,,-0.3448,-0.5,,,,,,,,,0.61,1.0116,,1.0158,1.83,2.52,1.15,1.009,0.61,-0.0056,-0.0056,0.0014,880.0264,0.6141,,,-0.006,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.14,0.6126482213438735,1.011202,2.8000000000000114,1.4000000000000001,1.4000000000000112,BH06-HSINCHU,1.0,0.2,-0.004,1.011402,332.83865999999995,48.1717989772367,237.74189999999805,34.40842784088308,0.61471224526622,-0.005553340830343456,-0.005353945361996111,0.5332142918302534,97.6253083550034,1.7914001123562517,0.9333333333333408,855.2961057852552,85.52961057852553,8.553322834982206,10.455509325138143,4.514156370033652,67.39972788886605,42.517380153074434,46.10418556806791,43.391978231109285,37.43596190444125,,,5.796550698475799,7.728734264634398,9.660917830792998,11.593101396951598,13.525284963110197,0.0
8,DATA,BH06-HSINCHU,1.0,0.16,1.095,0.0,,-0.0048,,,,,-0.3448,-0.5345,,,,,,,,,0.0,1.0941,,1.099,1.83,2.88,1.31,1.0912,0.0,-0.0064,-0.0059,0.0016,832.7522,0.0,,,-0.006,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.16,0.0,1.094088,3.200000000000003,1.6,1.6000000000000028,BH06-HSINCHU,1.0,0.2,-0.0046,1.094288,360.05904,50.97692474342364,225.0368999999996,31.86057796463972,0.0,-0.005866780091081761,-0.005682401419500535,1.0,681.9299999999988,,1.0666666666666684,865.6735094710931,86.5673509471093,9.171115526490938,11.211160641284605,4.95214084470266,67.605993270464,43.10526365969311,46.75372407369376,43.40847946163712,37.464839057864964,,,6.196773353931872,8.262364471909162,10.327955589886454,12.393546707863743,14.459137825841033,0.0
9,DATA,BH06-HSINCHU,1.0,0.18,1.38,0.0054,,-0.0118,,,,,-0.2586,-0.4828,,,,,,,,,0.39,1.3774,,1.3892,1.83,3.24,1.47,1.3741,0.39,-0.0136,-0.0099,0.0018,932.1318,0.3942,,,-0.01,,,,,,,,,BH06-HSINCHU,DATA,PC,200212.0,10.0,20.0,,N,,,,,PDE,ISO 22476-1:2012,,0.81,0.009,,2022-12-05T04:10,,,,0.0,STROKE,BB,0.998,0.435,0.0,0.0,,,0.707,-0.001,,,,,,,,,Final,,80.0,,,1.0,Silty Sand_20,0.0,3.8,Silty Sand,SILT,20.0,0.5,,,,215.0,76.0,76.0,-0.18,0.39130434782608703,1.3777579999999998,3.6000000000000085,1.7999999999999998,1.8000000000000087,BH06-HSINCHU,1.0,0.2,-0.0116,1.3779579999999998,453.53814,60.19307099424174,251.9656333333321,33.440594996800804,0.392910726317306,-0.009896969635223896,-0.009750006912318332,0.4928082815286937,98.85909144305558,1.6848295219014628,1.2000000000000057,1028.5912696499006,102.85912696499008,10.146415070330827,12.415065444029795,5.604491845856397,73.98716056125468,49.09002512924417,53.4414272784056,43.918972844900374,38.358202478575656,,,6.572670690062009,8.763560920082679,10.954451150103349,13.145341380124018,15.336231610144686,0.0
